model,dataset,num_layers,train_acc,test_acc
GCN,Cora,2,1.0,0.775
GCN,Cora,3,1.0,0.748
GCN,Cora,4,1.0,0.713
GCN,Cora,5,1.0,0.619
GCN,Cora,6,1.0,0.696
GCN,Cora,7,1.0,0.621
GCN,Cora,8,1.0,0.598
GCN,Cora,9,1.0,0.666
GCN,Cora,10,0.9714285714285714,0.585
GCN,Cora,11,1.0,0.583
GCN,Cora,12,1.0,0.603
GCN,Cora,13,0.9071428571428571,0.555
GAT,Cora,2,1.0,0.806
GAT,Cora,3,1.0,0.781
GAT,Cora,4,1.0,0.769
GAT,Cora,5,1.0,0.744
GAT,Cora,6,1.0,0.69
GAT,Cora,7,1.0,0.658
GAT,Cora,8,0.45,0.374
GAT,Cora,9,0.39285714285714285,0.3
GAT,Cora,10,0.45714285714285713,0.314
GAT,Cora,11,0.6142857142857143,0.501
GAT,Cora,12,0.22857142857142856,0.249
GAT,Cora,13,0.24285714285714285,0.347
